date,SPY,AGG
1/22/2019,262.86,106.44
1/23/2019,263.41,106.55
1/24/2019,263.55,106.73
1/25/2019,265.78,106.68
1/28/2019,263.76,106.62
1/29/2019,263.41,106.9
1/30/2019,267.58,107.14
1/31/2019,269.93,107.46
2/1/2019,270.06,106.97
2/4/2019,271.96,106.88
2/5/2019,273.1,107.11
2/6/2019,272.74,107.05
2/7/2019,270.14,107.1
2/8/2019,270.47,107.34
2/11/2019,270.62,107.23
2/12/2019,274.1,107.25
2/13/2019,274.99,107.06
2/14/2019,274.38,107.22
2/15/2019,277.37,107.3
2/19/2019,277.85,107.36
2/20/2019,278.41,107.37
2/21/2019,277.42,107.13
2/22/2019,279.14,107.4
2/25/2019,279.52,107.37
2/26/2019,279.32,107.49
2/27/2019,279.2,107.26
2/28/2019,278.68,107.07
3/1/2019,280.42,106.63
3/4/2019,279.4,106.76
3/5/2019,279.02,106.83
3/6/2019,277.33,106.99
3/7/2019,275.01,107.29
3/8/2019,274.46,107.43
3/11/2019,278.44,107.44
3/12/2019,279.49,107.64
3/13/2019,281.34,107.59
3/14/2019,281.16,107.43
3/15/2019,281.31,107.7
3/18/2019,282.33,107.68
3/19/2019,282.4,107.62
3/20/2019,281.55,108.06
3/21/2019,284.73,108.08
3/22/2019,279.25,108.62
3/25/2019,279.04,108.82
3/26/2019,281.12,108.84
3/27/2019,279.65,109.07
3/28/2019,280.71,109.08
3/29/2019,282.48,109.07
4/1/2019,285.83,108.31
4/2/2019,285.97,108.43
4/3/2019,286.42,108.23
4/4/2019,287.18,108.31
4/5/2019,288.57,108.39
4/8/2019,288.79,108.34
4/9/2019,287.31,108.4
4/10/2019,288.29,108.61
4/11/2019,288.21,108.48
4/12/2019,290.16,108.27
4/15/2019,289.97,108.25
4/16/2019,290.16,108.06
4/17/2019,289.45,108.05
4/18/2019,290.02,108.19
4/22/2019,290.27,108.06
4/23/2019,292.88,108.25
4/24/2019,292.23,108.5
4/25/2019,292.05,108.49
4/26/2019,293.41,108.71
4/29/2019,293.87,108.52
4/30/2019,294.02,108.59
5/1/2019,291.81,108.4
5/2/2019,291.18,108.16
5/3/2019,294.03,108.34
5/6/2019,292.82,108.48
5/7/2019,287.93,108.61
5/8/2019,287.53,108.59
5/9/2019,286.66,108.65
5/10/2019,288.1,108.67
5/13/2019,280.86,108.85
5/14/2019,283.4,108.94
5/15/2019,285.06,109.13
5/16/2019,287.7,109
5/17/2019,285.84,109.03
5/20/2019,283.95,108.88
5/21/2019,286.51,108.87
5/22/2019,285.63,109.05
5/23/2019,282.14,109.37
5/24/2019,282.78,109.41
5/28/2019,280.15,109.57
5/29/2019,278.27,109.6
5/30/2019,279.03,109.89
5/31/2019,275.27,110.4
6/3/2019,274.57,110.4
6/4/2019,280.53,110.3
6/5/2019,282.96,110.24
6/6/2019,284.8,110.22
6/7/2019,287.65,110.53
6/10/2019,288.97,110.24
6/11/2019,288.9,110.22
6/12/2019,288.39,110.36
6/13/2019,289.58,110.6
6/14/2019,289.26,110.57
6/17/2019,289.37,110.54
6/18/2019,292.4,110.84
6/19/2019,293.06,111.22
6/20/2019,295.86,111.41
6/21/2019,294,111.12
6/24/2019,293.64,111.32
6/25/2019,290.76,111.34
6/26/2019,290.47,111.09
6/27/2019,291.5,111.4
6/28/2019,293,111.35
7/1/2019,295.66,111.18
7/2/2019,296.43,111.38
7/3/2019,298.8,111.56
7/5/2019,298.46,111.09
7/8/2019,296.82,111.03
7/9/2019,297.19,111
7/10/2019,298.61,111.08
7/11/2019,299.31,110.67
7/12/2019,300.65,110.79
7/15/2019,300.75,110.95
7/16/2019,299.71,110.83
7/17/2019,297.74,111.12
7/18/2019,298.83,111.3
7/19/2019,297.17,111.17
7/22/2019,297.9,111.31
7/23/2019,300.03,111.2
7/24/2019,301.44,111.36
7/25/2019,300,111.19
7/26/2019,302.01,111.21
7/29/2019,301.46,111.26
7/30/2019,300.72,111.25
7/31/2019,297.43,111.3
8/1/2019,294.84,111.91
8/2/2019,292.62,111.95
8/5/2019,283.82,112.44
8/6/2019,287.8,112.74
8/7/2019,287.97,112.68
8/8/2019,293.62,112.79
8/9/2019,291.62,112.64
8/12/2019,288.07,113.05
8/13/2019,292.55,112.89
8/14/2019,283.9,113.24
8/15/2019,284.65,113.76
8/16/2019,288.85,113.67
8/19/2019,292.33,113.37
8/20/2019,290.09,113.68
8/21/2019,292.45,113.62
8/22/2019,292.36,113.32
8/23/2019,284.85,113.78
8/26/2019,288,113.73
8/27/2019,286.87,114.09
8/28/2019,288.89,114.1
8/29/2019,292.58,114.03
8/30/2019,292.45,114.13
9/3/2019,290.74,113.84
9/4/2019,294.04,114.04
9/5/2019,297.82,113.55
9/6/2019,298.05,113.67
9/9/2019,298.2,113.19
9/10/2019,298.13,112.58
9/11/2019,300.25,112.6
9/12/2019,301.29,112.42
9/13/2019,301.09,111.75
9/16/2019,300.16,112.05
9/17/2019,300.92,112.22
9/18/2019,301.1,112.35
9/19/2019,301.08,112.51
9/20/2019,298.28,112.92
9/23/2019,298.21,112.97
9/24/2019,295.87,113.28
9/25/2019,297.62,112.81
9/26/2019,297,113
9/27/2019,295.4,113.14
9/30/2019,296.77,113.17
10/1/2019,293.24,113.12
10/2/2019,288.06,113.2
10/3/2019,290.42,113.64
10/4/2019,294.35,113.82
10/7/2019,293.08,113.51
10/8/2019,288.53,113.55
10/9/2019,291.27,113.49
10/10/2019,293.24,113.1
10/11/2019,296.28,112.73
10/14/2019,295.95,112.92
10/15/2019,298.88,112.55
10/16/2019,298.4,112.75
10/17/2019,299.28,112.72
10/18/2019,297.97,112.8
10/21/2019,299.99,112.49
10/22/2019,299.01,112.66
10/23/2019,299.88,112.75
10/24/2019,300.37,112.78
10/25/2019,301.6,112.62
10/28/2019,303.3,112.38
10/29/2019,303.21,112.39
10/30/2019,304.14,112.71
10/31/2019,303.33,113.15
11/1/2019,306.14,112.93
11/4/2019,307.37,112.65
11/5/2019,307.03,112.23
11/6/2019,307.1,112.4
11/7/2019,308.18,111.87
11/8/2019,308.94,111.81
11/11/2019,308.35,111.83
11/12/2019,309,111.95
11/13/2019,309.1,112.15
11/14/2019,309.55,112.47
11/15/2019,311.79,112.41
11/18/2019,312.02,112.62
11/19/2019,311.93,112.7
11/20/2019,310.77,112.97
11/21/2019,310.27,112.81
11/22/2019,310.96,112.87
11/25/2019,313.37,112.98
11/26/2019,314.08,113.14
11/27/2019,315.48,113
11/29/2019,314.31,112.86
12/2/2019,311.64,112.49
12/3/2019,309.55,113
12/4/2019,311.46,112.81
12/5/2019,312.02,112.68
12/6/2019,314.87,112.52
12/9/2019,313.88,112.58
12/10/2019,313.53,112.54
12/11/2019,314.42,112.84
12/12/2019,317.13,112.36
12/13/2019,317.32,112.81
12/16/2019,319.5,112.58
12/17/2019,319.57,112.59
12/18/2019,319.59,112.37
12/19/2019,320.9,112.3
12/20/2019,320.73,112.32
12/23/2019,321.22,112.24
12/24/2019,321.23,112.38
12/26/2019,322.94,112.48
12/27/2019,322.86,112.63
12/30/2019,321.08,112.63
12/31/2019,321.86,112.37
1/2/2020,324.87,112.68
1/3/2020,322.41,113.01
1/6/2020,323.64,112.92
1/7/2020,322.73,112.8
1/8/2020,324.45,112.67
1/9/2020,326.65,112.79
1/10/2020,325.71,112.98
1/13/2020,327.95,112.91
1/14/2020,327.45,113.01
1/15/2020,328.19,113.18
1/16/2020,330.92,113.18
1/17/2020,331.95,113.05
